ARTH	41.01	23s	Modernism and Modernity	10	Katherine Hornstein	W	ART	N/A	N/A	N/A
ARTH	42.02	23s	Postwar Art from Mid East	10A	N/A	NW	N/A	MES 12.16 01	N/A	N/A
ARTH	62.3	23s	Japanese Prints	10	Allen Hockley	NW	ART	ASCL 62.12 01	N/A	N/A
ARTH	63.72	23s	Aesthetics of the Digital	10A	Chad Elias	N/A	N/A	N/A	N/A	N/A
ARTH	83.06	23s	Art and Life!	3A	Katherine Hornstein	W	ART	N/A	N/A	N/A
ARTH	92	23s	Honors II	ARR	Katherine Hornstein	N/A	N/A	N/A	N/A	N/A
ASCL	10.01	23s	Intro to Chinese Culture	11	Levi Gibbs, Qiong Xie	CI	LIT	N/A	N/A	NR Eligible
ASCL	10.03	23s	Intro Japanese Culture	11	Dennis Washburn	CI	LIT	N/A	N/A	NR Eligible
ASCL	51.06	23s	Buddhism Sex Gender SE Asia	3A	Sara Swenson	NW	TMV	REL 41.07 01	N/A	N/A
ASCL	51.08	23s	Buddhist Philosophy	2	Gregory Seton	NW	TMV	PHIL 01.20 01, REL 41.08 01	N/A	N/A
ASCL	52.01	23s	Music and Dance of N. India	2A	Theodore Levin, Sandeep Das	NW	ART	MUS 17.02 01	N/A	N/A
ASCL	54.08	23s	ColIndia to Post Ind SoAsia	12	Douglas Haynes	NW	N/A	HIST 076 01	N/A	NR Eligible
ASCL	60.2	23s	Lang of Gender,Class,Nation	12	Sachi Schmidt-Hori	NW	N/A	N/A	LRP	N/A
ASCL	60.2	23s	Lang of Gender,Class,Nation	2	Sachi Schmidt-Hori	NW	N/A	N/A	LRP	N/A
ASCL	62.02	23s	Trad Performance in China	12	Levi Gibbs	NW	LIT	N/A	N/A	N/A
ASCL	62.03	23s	Chinese Painting	10A	Ziliang Liu	NW	ART	ARTH 34.02 01	N/A	N/A
ASCL	62.12	23s	Japanese Prints	10	Allen Hockley	NW	ART	ARTH 62.30 01	N/A	N/A
ASCL	64.05	23s	The Two Koreas,1948-Present	12	Soyoung Suh	NW	SOC	HIST 78.03 01	N/A	N/A
ASCL	70.09	23s	Global Sounds	10A	Theodore Levin	NW	ART	MUS 004 01	N/A	N/A
ASCL	70.12	23s	Lit & Cul Asian Borderlands	2	Qiong Xie	NW	N/A	N/A	N/A	N/A
ASCL	70.2	23s	Buddhist Meditation Theory	10	Gregory Seton	NW	TMV	REL 41.04 01	N/A	N/A
ASCL	80.09	23s	War and Peace in Korea	10A	Soyoung Suh	NW	SOC	HIST 96.40 01	N/A	N/A
ASCL	89	23s	Independent Research	ARR	Allen Hockley	N/A	N/A	N/A	N/A	N/A
ASCL	90	23s	Honors Thesis I	ARR	Allen Hockley	N/A	N/A	N/A	N/A	N/A
ASCL	91	23s	Honors Thesis II	ARR	Allen Hockley	N/A	N/A	N/A	N/A	N/A
ASTR	4	23s	Dvlpmt Astronomical Thought	10	Marcelo Gleiser	N/A	SCI	N/A	N/A	NR Eligible
ASTR	15	23s	Stars & the Milky Way	10A	Burcin Mutlu-Pakdil	N/A	SCI	N/A	N/A	NR Eligible
ASTR	87	23s	Undergrad Res in Astronomy	ARR	Ryan Hickox	N/A	N/A	N/A	N/A	N/A
BIOL	3	23s	Mindful Physiology	2A	Diane Gilbert-Diamond	N/A	N/A	N/A	N/A	N/A
BIOL	7.02	23s	Biology:Politicized Topics	9L	Brittny Calsbeek	N/A	N/A	N/A	N/A	N/A
BIOL	11.08	23s	Animal Minds	10	Thomas Jack, Mark Laidre	N/A	SCI	N/A	N/A	N/A
BIOL	12	23s	Cell Structure and Function	9L	Bing He	N/A	SLA	N/A	N/A	NR Eligible
BIOL	16	23s	Ecology	10	Matthew Ayres	N/A	SLA	N/A	N/A	NR Eligible
BIOL	26	23s	Global Change Biology	12	Caitlin Pries	N/A	SCI	N/A	N/A	N/A
BIOL	37	23s	Endocrinology	10A	Lee Witters	N/A	SCI	N/A	N/A	NR Eligible
BIOL	43	23s	Developmental Biology	10	Erik Griffin	N/A	SCI	N/A	N/A	NR Eligible
BIOL	46	23s	Microbiology	12	Carey Nadell, George O'Toole, David Leib	N/A	SLA	N/A	N/A	NR Eligible
BIOL	50.02	23s	Ecol of Infectious Disease	2	Kathryn Cottingham	N/A	SCI	N/A	N/A	N/A
BIOL	58	23s	Advanced Community Ecology	10	Mark McPeek	N/A	SCI	N/A	N/A	NR Eligible
BIOL	69	23s	Cell Signaling	10A	Patrick Dolph	N/A	SCI	N/A	N/A	NR Eligible
BIOL	71	23s	Current Topics in Cell Biol	2	Wei Lih Lee	N/A	SCI	N/A	N/A	NR Eligible
BIOL	74.03	23s	Comp Model of Nervous Sys	10A	Aman Aberra	N/A	SCI	N/A	N/A	N/A
BIOL	95	23s	Ind Research Biology I	ARR	Natasha Grotz	N/A	N/A	N/A	N/A	N/A
BIOL	96	23s	Ind Research Biology II	ARR	Natasha Grotz	N/A	N/A	N/A	N/A	N/A
BIOL	97	23s	Honors Research Biology I	ARR	Natasha Grotz	N/A	N/A	N/A	N/A	N/A
BIOL	98	23s	Honors Research Biology II	ARR	Natasha Grotz	N/A	N/A	N/A	N/A	N/A
BIOL	99	23s	Senior Seminar in Biology	2A	George Schaller	N/A	N/A	N/A	N/A	N/A
CHIN	3	23s	First Yr Courses in Chinese	10	Alan Li	N/A	N/A	N/A	N/A	N/A
CHIN	3	23s	First Yr Courses in Chinese	2	Alan Li	N/A	N/A	N/A	N/A	N/A
CHIN	23	23s	Intermediate Modern Chinese	9S	Yuhui Lyu	NW	LIT	N/A	LADV	N/A
