AAAS	87.12	22s	Africa's Time?	10	Clifford Campbell	NW	SOC	ANTH 12.24 01	N/A	NR Eligible
AAAS	88.08	22s	Ethnography of Violence	2A	Chelsey Kivland	NW	INT or SOC	ANTH 028 01, WGSS 42.05 01	N/A	N/A
AAAS	88.08	22x	Ethnography of Violence	2A	Chelsey Kivland	NW	INT or SOC	ANTH 028 01, WGSS 42.05 01	N/A	NR Eligible
AAAS	88.12	22s	Diaspora Practice to Theory	12	Clifford Campbell	CI	LIT	ENGL 53.35 01	N/A	NR Eligible
AAAS	88.16	22x	Sovereignty, Race, Rights	2A	Jesse Shipley	NW	INT or SOC	ANTH 50.22 01	N/A	N/A
AAAS	88.17	22x	Filmmaking & Visual Culture	10A	Jesse Shipley	NW	SOC	ANTH 50.21 01	N/A	N/A
AAAS	89	22s	Readngs in Af/Af-Am Studies	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	89	22x	Readngs in Af/Af-Am Studies	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	89	22f	Readngs in Af/Af-Am Studies	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	89	22f	Readngs in Af/Af-Am Studies	FS	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	89	23w	Readngs in Af/Af-Am Studies	ARR	Michael Chaney	N/A	N/A	N/A	N/A	N/A
AAAS	90.12	23w	Aesthetics and Power	2A	Jesse Shipley	NW	INT or SOC	N/A	N/A	N/A
AAAS	97	22s	Senior Ind Research in AAAS	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	97	22x	Senior Ind Research in AAAS	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	97	22f	Senior Ind Research in AAAS	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	97	23w	Senior Ind Research in AAAS	ARR	Michael Chaney	N/A	N/A	N/A	N/A	N/A
AAAS	98	22x	Honors Thesis	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	98	22f	Honors Thesis	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	98	23w	Honors Thesis	ARR	Michael Chaney	N/A	N/A	N/A	N/A	N/A
AAAS	99	22s	Honors Thesis	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	99	22x	Honors Thesis	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	99	22f	Honors Thesis	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	99	23w	Honors Thesis	ARR	Michael Chaney	N/A	N/A	N/A	N/A	N/A
ANTH	3	22x	Intro-Cultural Anthropology	10A	Chelsey Kivland, Sienna Craig	NW	INT or SOC	N/A	N/A	NR Eligible
ANTH	3	23w	Intro-Cultural Anthropology	12	Maron Greenleaf	NW	INT or SOC	N/A	N/A	NR Eligible
ANTH	5	22s	Introduction to Archaeology	9L	Petra Creamer	N/A	SOC	N/A	N/A	N/A
ANTH	6	22f	Intro to Biological Anth	10A	Jeremy DeSilva, Nathaniel Dominy	N/A	SCI	N/A	N/A	NR Eligible
ANTH	6	23w	Intro to Biological Anth	10A	Jennifer Eyre	N/A	SCI	N/A	N/A	NR Eligible
ANTH	8	23w	Rise&22f Prehist Civzn	2	Zachary Silvia	NW	INT or SOC	N/A	N/A	NR Eligible
ANTH	9	22s	Language & Culture	10A	Sabrina Billings	N/A	SOC	N/A	N/A	N/A
ANTH	9	22f	Language & Culture	10	Sabrina Billings	N/A	SOC	N/A	N/A	N/A
ANTH	11	22f	Ancient Native Americans	10A	Madeleine McLeester	NW	SOC	NAIS 011 01	N/A	N/A
ANTH	12.01	22s	Ethnographic Film	3A	Laura Ogden	NW	INT or SOC	FILM 41.04 01	N/A	N/A
ANTH	12.14	23w	African Popular Culture	10A	Jesse Shipley	NW	SOC	AAAS 87.09 01	N/A	NR Eligible
ANTH	12.19	22x	Latino Roots & Transitions	10A	Christina Gomez	CI	SOC	LATS 044 01, SOCY 043 01	N/A	NR Eligible
ANTH	12.24	22s	Africa's Time?	10	Clifford Campbell	NW	SOC	AAAS 87.12 01	N/A	NR Eligible
ANTH	12.26	22f	Environmental Justice	10A	Maron Greenleaf	N/A	SOC	GEOG 39.01 01	N/A	NR Eligible
ANTH	17	23w	The Anth of Health&Illness	3A	Ellen Kozelka	N/A	INT or SOC	N/A	N/A	N/A
ANTH	18	22f	Rsrch Mthds Cultural Anth	10A	Elizabeth Carpenter-Song	N/A	SOC	N/A	N/A	NR Eligible
ANTH	20	22s	Primate Evolution & Ecology	11	Nathaniel Dominy	N/A	SCI	N/A	N/A	NR Eligible
ANTH	27	22s	Economic Anthropology	11	Maron Greenleaf	N/A	INT or SOC	N/A	N/A	N/A
ANTH	27	22f	Economic Anthropology	11	Maron Greenleaf	N/A	INT or SOC	N/A	N/A	NR Eligible
ANTH	28	22s	Ethnography of Violence	2A	Chelsey Kivland	NW	INT or SOC	AAAS 88.08 01, WGSS 42.05 01	N/A	N/A
ANTH	28	22x	Ethnography of Violence	2A	Chelsey Kivland, Charis Boke	NW	INT or SOC	AAAS 88.08 01, WGSS 42.05 01	N/A	NR Eligible
ANTH	31	22f	Gendr Cross Cltrl Perspctve	12	Sabrina Billings	CI	INT or SOC	WGSS 36.01 01	N/A	N/A
ANTH	33	22s	The Global Caribbean	10A	Chelsey Kivland	NW	SOC	AAAS 83.08 01, LACS 038 01	N/A	N/A
ANTH	39	22f	ArchaeologyOfTheMiddleEast	2	Zachary Silvia	NW	INT or SOC	MES 03.02 01	N/A	NR Eligible
ANTH	43	22s	Human Osteology	9L	Georgina Voegele	N/A	SLA	N/A	N/A	N/A
ANTH	43	22f	Human Osteology	2A	Jennifer Eyre	N/A	SLA	N/A	N/A	N/A
ANTH	44	22s	Language,Gender & Sexuality	2A	Sabrina Billings	N/A	SOC	WGSS 53.07 01	N/A	N/A
ANTH	50.05	23w	Environmental Archeology	2A	Madeleine McLeester	N/A	SLA	N/A	N/A	N/A
ANTH	50.21	22x	Filmmaking & Visual Culture	10A	Jesse Shipley	NW	SOC	AAAS 88.17 01	N/A	N/A
ANTH	50.22	22x	Sovereignty, Race, Rights	2A	Jesse Shipley	NW	INT or SOC	AAAS 88.16 01	N/A	N/A
ANTH	50.28	23w	Racial Geographies	12	Clifford Campbell	CI	SOC	AAAS 60.50 01, GEOG 071 01	N/A	NR Eligible
ANTH	50.32	23w	IndigenousReligionsAmericas	11	Darryl Wilkinson	CI	TMV	REL 03.01 01	N/A	NR Eligible
ANTH	50.41	22s	Homelands & Diasporas	10A	Sergei Kan	CI	INT or SOC	COCO 033 01, JWST 05.01 01, RUSS 38.15 01	N/A	N/A
ANTH	50.44	23w	Darwin & Human Evolution	10A	Jeremy DeSilva	N/A	SCI	N/A	N/A	N/A
ANTH	50.46	23w	Macroevolution	12	Kevin Peterson	N/A	SCI	BIOL 028 01, EARS 032 01	N/A	NR Eligible
ANTH	50.47	22s	Archaeology Field Methods	10A	Jesse Casana	N/A	SLA	N/A	N/A	N/A
ANTH	50.48	22s	Energy Justice	10A	Sarah Kelly	N/A	INT or SOC	GEOG 40.04 01	N/A	N/A
ANTH	50.5	22s	Archaeology of Food	2	Jiajing Wang	N/A	INT or SCI	N/A	N/A	NR Eligible
ANTH	51	23w	Colonialism & its Legacies	FS	Sienna Craig	CI	INT or SOC	N/A	N/A	N/A
ANTH	52	23w	Intro to Maori Society	FS	Sienna Craig	NW	SOC	N/A	N/A	N/A
ANTH	54	23w	Foreign Studies in Anthro	FS	Sienna Craig	N/A	SOC	N/A	N/A	N/A
ANTH	55	22s	Anthropology of Global Hlth	10	Anne Sosin	N/A	INT or SOC	N/A	N/A	NR Eligible
ANTH	55	22f	Anthropology of Global Hlth	11	Anne Sosin	N/A	INT or SOC	N/A	N/A	NR Eligible
ANTH	72	22s	Ethnicity and Nationalism	2A	Sergei Kan	CI	INT or SOC	N/A	N/A	N/A
ANTH	72	23w	Ethnicity and Nationalism	2A	Sergei Kan	CI	INT or SOC	N/A	N/A	N/A
ANTH	74	22s	The Human Spectrum	2	Nathaniel Dominy	NW	SOC	N/A	N/A	N/A
ANTH	75	22f	Ecology, Culture & Envrnmnt	3A	Jiajing Wang	N/A	SOC	N/A	N/A	N/A
ANTH	85	22s	Reading Course	ARR	Jesse Casana	N/A	N/A	N/A	N/A	N/A
ANTH	85	22x	Reading Course	ARR	Jesse Casana	N/A	N/A	N/A	N/A	N/A
ANTH	85	22f	Reading Course	ARR	Jesse Casana	N/A	N/A	N/A	N/A	N/A
ANTH	85	23w	Reading Course	ARR	Jeremy DeSilva	N/A	N/A	N/A	N/A	N/A
ANTH	87	22s	Research Course	ARR	Jesse Casana	N/A	N/A	N/A	N/A	N/A
ANTH	87	22x	Research Course	ARR	Jesse Casana	N/A	N/A	N/A	N/A	N/A
ANTH	87	22f	Research Course	ARR	Jesse Casana	N/A	N/A	N/A	N/A	N/A
ANTH	87	23w	Research Course	ARR	Jeremy DeSilva	N/A	N/A	N/A	N/A	N/A
ANTH	88	22s	Anthropology Honors	ARR	Jesse Casana	N/A	N/A	N/A	N/A	N/A
ANTH	88	22x	Anthropology Honors	ARR	Jesse Casana	N/A	N/A	N/A	N/A	N/A
ANTH	88	22f	Anthropology Honors	ARR	Jesse Casana	N/A	N/A	N/A	N/A	N/A
ANTH	88	23w	Anthropology Honors	ARR	Jeremy DeSilva	N/A	N/A	N/A	N/A	N/A
ARAB	1	22f	First Yr Courses in Arabic	9S	Jamila Chahboun	N/A	N/A	N/A	N/A	N/A
ARAB	1	22f	First Yr Courses in Arabic	9S	El Mostafa Ouajjani	N/A	N/A	N/A	N/A	N/A
ARAB	1.2	23w	Intensive Arabic	10	Mokhtar Bouba	N/A	N/A	N/A	LACC	N/A
ARAB	2	23w	First Yr Courses in Arabic	9S	Jamila Chahboun	N/A	N/A	N/A	N/A	N/A
ARAB	2	23w	First Yr Courses in Arabic	9S	El Mostafa Ouajjani	N/A	N/A	N/A	N/A	N/A
ARAB	3	22s	First Yr Courses in Arabic	9S	Jamila Chahboun	N/A	N/A	N/A	N/A	N/A
ARAB	3	22s	First Yr Courses in Arabic	9S	El Mostafa Ouajjani	N/A	N/A	N/A	N/A	N/A
ARAB	22	22x	Intermediate Arabic	FS	Tarek El-Ariss	NW	LIT	N/A	N/A	N/A
ARAB	22	22f	Intermediate Arabic	10	Jamila Chahboun	NW	LIT	N/A	LADV	N/A
ARAB	23	22s	Intermediate Arabic	10	El Mostafa Ouajjani	NW	N/A	N/A	N/A	NR Eligible
ARAB	23	22x	Intermediate Arabic	FS	Tarek El-Ariss	NW	N/A	N/A	N/A	N/A
ARAB	31	22x	Advanced Arabic	FS	Tarek El-Ariss	NW	N/A	N/A	LADV	N/A
ARAB	31	22f	Advanced Arabic	10	El Mostafa Ouajjani	NW	N/A	N/A	LADV	N/A
ARAB	32	22x	Advanced Arabic	FS	Tarek El-Ariss	NW	N/A	N/A	LADV	N/A
ARAB	41	22f	Advanced Arabic	ARR	Hussein Kadhim	NW	LIT	N/A	LADV	NR Eligible
ARAB	42	22x	Advanced Arabic	FS	Tarek El-Ariss	NW	LIT	N/A	LADV	N/A
ARAB	42	23w	Advanced Arabic	ARR	Hussein Kadhim	NW	LIT	N/A	LADV	NR Eligible
ARAB	43.01	22s	Adv Arab Con & Reading	ARR	Hussein Kadhim	NW	LIT	N/A	N/A	NR Eligible
ARAB	43.01	22x	Adv Arab Con & Reading	FS	Tarek El-Ariss	NW	LIT	N/A	N/A	N/A
