8S,MTRF,7:45,8:35,W,7:45,8:35
8L,MWF,7:30,8:35,R,7:45,8:35
9S,MTRF,9:05,9:55,W,9:05,9:55
9L,MWF,8:50,9:55,R,9:05,9:55
10,MWF,10:10,11:15,R,12:15,13:05
11,MWF,11:30,12:35,T,13:20,14:10
12,MWF,12:50,13:55,T,13:20,14:10
2,MWF,14:10,15:15,R,12:15,13:05
3A,MW,15:30,17:20,M,17:30,18:20
6A,MR,18:30,20:20,T,18:30,19:20
10A,TR,10:10,12:00,F,15:30,16:20
2A,TR,14:25,16:15,W,17:30,18:20
3B,TR,16:30,18:20,F,16:35,17:25
6B,W,18:30,21:30,T,19:30,20:20
